Year,State Name,Dist Name,COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),JANUARY PERCIPITATION (Millimeters),FEBRUARY PERCIPITATION (Millimeters),MARCH PERCIPITATION (Millimeters),APRIL PERCIPITATION (Millimeters),MAY PERCIPITATION (Millimeters),JUNE PERCIPITATION (Millimeters),JULY PERCIPITATION (Millimeters),AUGUST PERCIPITATION (Millimeters),SEPTEMBER PERCIPITATION (Millimeters),OCTOBER PERCIPITATION (Millimeters),NOVEMBER PERCIPITATION (Millimeters),DECEMBER PERCIPITATION (Millimeters),JANUARY MINIMUM (Centigrate),FEBRUARY MINIMUM (Centigrate),MARCH MINIMUM (Centigrate),APRIL MINIMUM (Centigrate),MAY MINIMUM (Centigrate),JUNE MINIMUM (Centigrate),JULY MINIMUM (Centigrate),AUGUST MINIMUM (Centigrate),SEPTEMBER MINIMUM (Centigrate),OCTOBER MINIMUM (Centigrate),NOVEMBER MINIMUM (Centigrate),DECEMBER MINIMUM (Centigrate),JANUARY MAXIMUM (Centigrate),FEBRUARY MAXIMUM (Centigrate),MARCH MAXIMUM (Centigrate),APRIL MAXIMUM (Centigrate),MAY MAXIMUM (Centigrate),JUNE MAXIMUM (Centigrate),JULY MAXIMUM (Centigrate),AUGUST MAXIMUM (Centigrate),SEPTEMBER MAXIMUM (Centigrate),OCTOBER MAXIMUM (Centigrate),NOVEMBER MAXIMUM (Centigrate),DECEMBER MAXIMUM (Centigrate),JANUARY WATER DEFICIT (Millimeters),FEBRUARY WATER DEFICIT (Millimeters),MARCH WATER DEFICIT (Millimeters),APRIL WATER DEFICIT (Millimeters),MAY WATER DEFICIT (Millimeters),JUNE WATER DEFICIT (Millimeters),JULY WATER DEFICIT (Millimeters),AUGUST WATER DEFICIT (Millimeters),OCTOBER WATER DEFICIT (Millimeters),NOVEMBER WATER DEFICIT (Millimeters),DECEMBER WATER DEFICIT (Millimeters),JANUARY ACTUAL (Millimeters),FEBRUARY ACTUAL (Millimeters),MARCH ACTUAL (Millimeters),APRIL ACTUAL (Millimeters),MAY ACTUAL (Millimeters),JUNE ACTUAL (Millimeters),JULY ACTUAL (Millimeters),AUGUST ACTUAL (Millimeters),SEPTEMBER ACTUAL (Millimeters),OCTOBER ACTUAL (Millimeters),NOVEMBER ACTUAL (Millimeters),DECEMBER ACTUAL (Millimeters),JANUARY POTENTIAL (Millimeters),FEBRUARY POTENTIAL (Millimeters),MARCH POTENTIAL (Millimeters),APRIL POTENTIAL (Millimeters),MAY POTENTIAL (Millimeters),JUNE POTENTIAL (Millimeters),JULY POTENTIAL (Millimeters),AUGUST POTENTIAL (Millimeters),SEPTEMBER POTENTIAL (Millimeters),OCTOBER POTENTIAL (Millimeters),NOVEMBER POTENTIAL (Millimeters),DECEMBER POTENTIAL (Millimeters),TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1990,Bihar,Darbhanga,4.0,0.0,0,,11.19,14.74,10.8,57.26,,273.39,203.66,163.56,43.63,5.16,,13.67,13.63,18.89,22.17,26.77,29.57,26.44,27.82,27.45,22.7,19.15,11.71,28.92,27.04,34.2,37.17,36.37,36.09,31.87,34.72,35.35,32.480000000000004,31.83,28.87,45.9,,105.41,167.96,121.03,10.379999999999999,0.0,0.0,0.0,29.07,41.17,27.04,30.95,25.88,17.630000000000003,56.0,139.58,127.14,121.41,112.36,84.69,48.56,28.78,68.94,83.26,127.29,182.59,176.03,145.95,128.14,122.41,111.36,110.77,86.73,65.57,851.97,0.0,11.88,180.82,4.41,6.41,9.6,61.49,556.28,850.86,156.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1990,Bihar,Saharsa,0.0,0.0,0,0.0,13.03,17.380000000000003,20.31,62.79,175.92,290.44,208.7,184.08,63.11,5.51,2.2,13.2,14.26,19.48,24.6,26.94,29.56,26.66,28.04,26.69,25.73,17.6,12.21,27.29,26.78,31.59,37.82,38.63,35.95,34.04,35.9,35.629999999999995,31.43,30.98,26.5,44.99,58.02,107.74,159.33,111.92,0.0,0.0,0.0,0.0,19.9,38.01,25.99,32.120000000000005,,27.65,,,125.7,123.24,114.48,91.81,53.61,32.61,70.98,87.14,130.93,182.97,173.61,143.74,126.7,121.24,114.48,109.71,85.62,63.94,406.16,0.0,37.06,71.29,5.5,4.55,16.58,20.54,251.54,375.21,153.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1990,Bihar,Purnea,0.0,0.0,0,4.28,13.23,23.33,35.11,110.43,219.17,324.17,270.1,247.78,117.96,4.67,3.14,11.36,14.38,19.21,22.2,27.87,27.68,26.91,29.2,29.7,23.5,16.64,14.3,,30.49,34.8,38.59,36.87,35.35,33.17,36.02,32.870000000000005,31.56,34.33,28.25,49.31,62.24,106.4,142.49,61.43,0.0,0.0,0.0,0.0,2.0,32.07,28.61,27.1,28.95,42.03,107.81,138.25,125.43,122.86,113.66,106.67,54.48,34.46,73.93,87.34,135.36,180.51,169.24,139.25,126.43,120.86,113.66,105.67,86.56,65.95,1068.02,4.08,54.22,176.78,8.35,6.109999999999999,30.97,113.92,661.93,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Bihar,Saran,0.0,0.0,0,13.58,29.99,10.84,9.68,50.12,171.48,334.29,256.02,187.7,45.78,2.26,3.43,13.73,15.23,18.6,27.55,28.79,27.57,26.68,29.56,27.0,25.6,,13.79,25.35,27.89,34.489999999999995,,,38.09,,36.09,35.55,32.8,33.68,26.13,37.73,38.41,,164.06,138.98,1.56,0.0,0.0,0.0,28.68,,35.46,47.48,41.02,23.12,54.49,157.73,,123.52,117.53,86.96,52.53,32.239999999999995,69.19,83.88,131.33,186.18,191.47,157.29,125.65,125.52,115.53,110.64,86.05,63.98,694.01,0.0,,91.88,6.029999999999999,4.61,16.759999999999998,29.2,510.5,834.65,165.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Bihar,Patna,0.0,0.0,0,4.29,23.24,,8.52,39.22,196.81,360.44,200.44,180.81,40.73,3.76,1.3599999999999999,,15.95,18.47,28.23,29.25,31.31,27.96,30.79,27.12,,16.96,14.29,26.25,26.23,33.72,37.02,42.34,37.96,35.7,34.28,34.72,32.58,31.73,28.42,40.23,43.63,97.27,175.98,157.4,0.0,0.0,0.0,0.0,31.25,38.2,34.21,44.7,41.39,22.69,46.96,162.41,128.15,123.21,115.34,83.66,50.73,32.769999999999996,71.44,89.33,133.65,192.66,203.36,163.4,126.15,124.21,115.34,110.91,88.93,67.85,552.15,6.71,18.7,107.68,5.7,4.67,4.68,33.34,394.7,555.54,142.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Bihar,Mungair,0.0,0.0,0,0.0,13.69,13.94,20.82,59.77,188.68,311.88,197.57,204.24,106.95,2.4,2.26,13.81,16.15,21.8,26.24,29.28,27.43,,29.31,26.94,23.8,19.19,14.9,,30.33,35.120000000000005,40.75,38.01,39.52,34.45,33.17,32.79,31.36,31.95,27.44,44.56,55.15,107.08,169.25,122.98,0.0,0.0,0.0,0.0,6.31,36.64,30.62,,32.47,,64.53999999999999,150.36,122.57,122.71,116.23,106.89,57.76,39.89,74.18,88.97,136.55,194.25,185.52,148.36,125.57,120.71,,110.19,,69.87,972.76,138.82,84.64,142.88,19.3,5.7,47.93,85.39,461.1,638.69,139.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Bihar,Bhagalpur,5.0,5.0,3332,3.12,9.87,13.75,30.17,74.25,192.03,304.95,,214.91,135.44,5.85,2.11,14.48,15.82,19.02,25.24,27.79,30.23,30.15,28.59,27.29,24.04,17.25,14.64,29.45,28.47,32.019999999999996,38.91,36.96,37.58,32.519999999999996,33.28,35.29,34.769999999999996,34.18,26.97,45.91,59.14,112.12,156.77,103.95,0.0,0.0,0.0,0.0,3.19,32.18,28.95,34.05,28.31,35.39,75.85,,125.54,120.95,115.92,109.77,58.2,37.9,74.87,90.19,137.42,189.16,179.79,142.08,123.54,120.95,116.92,110.96,88.39,68.81,561.92,49.39,67.81,92.35,18.36,5.42,24.28,50.27,272.01,328.87,123.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Bihar,Gaya,3.0,,5001,2.61,28.98,15.22,4.55,27.33,262.28,428.92,225.96,173.62,49.06,1.5699999999999998,4.29,13.53,15.8,20.78,27.19,29.34,30.09,29.19,28.31,28.45,24.17,16.91,13.41,27.78,27.13,35.05,38.39,43.35,39.42,36.0,36.24,35.78,33.489999999999995,32.620000000000005,27.01,44.73,45.18,102.32,179.03,176.88,0.0,0.0,0.0,0.0,,,33.35,50.61,40.17,20.93,31.75,162.58,121.19,119.12,115.36,89.58,51.74,36.61,77.08,92.79,,198.96,207.63,162.58,121.19,120.13,114.36,110.91,90.11,72.84,1226.18,158.84,61.89,157.27,11.34,7.16,33.510000000000005,138.87,668.95,892.96,137.29,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Chhattisgarh,Durg,0.0,0.0,0,3.95,37.63,56.81,3.65,59.95,304.85,436.08,457.39,208.78,96.36,1.79,15.96,15.22,20.68,20.81,27.24,30.45,27.89,24.24,25.11,25.59,24.72,17.51,17.53,32.83,31.7,34.85,42.77,43.66,36.29,33.31,33.11,32.480000000000004,34.370000000000005,31.66,31.15,57.53,56.03,93.23,175.57,151.41,0.0,,0.0,0.0,12.49,41.25,32.519999999999996,55.05,67.76,11.6,61.7,164.62,114.8,109.69,116.18,107.06,62.89,,90.05,110.08,159.98,189.18,215.11,164.62,114.8,110.69,,116.55,99.14,82.71,1630.3,138.67,47.92,132.13,45.97,137.24,50.95,55.69,,1367.8,132.34,22147.0,65.16,22.33,18.24,9042.0,28.19,9.7,9.629999999999999,3333.0,10.65,4.21,3.44,34515.0,34.24,29.31
1990,Chhattisgarh,Bastar,0.0,0.0,0,3.07,44.62,70.56,14.43,100.0,216.16,371.4,621.6,224.27,216.55,21.29,13.74,14.29,18.11,19.23,24.83,24.26,23.9,24.46,23.89,,21.23,17.6,13.17,29.82,34.769999999999996,34.48,39.55,39.31,33.260000000000005,,29.93,29.74,31.45,32.41,29.71,76.02,62.32,92.67,166.82,101.3,0.0,0.0,0.0,0.0,0.0,,29.11,53.3,73.99,19.14,96.08,151.75,116.35,112.59,112.27,112.35,71.33,54.85,102.14,114.62,161.67,186.96,196.38,,115.35,114.59,113.27,115.35,103.56,89.72,2429.98,935.85,,,172.47,152.57,49.6,50.19,866.4,897.3,107.46,1786.0,58.33,4.0600000000000005,4.99,1170.0,39.82,,5.3,218.0,7.85,4.25,,3171.0,4.66,5.54
1990,Chhattisgarh,Raipur,0.0,0.0,0,2.67,36.14,66.32,6.46,39.2,305.08,487.45,,203.41,87.94,4.2,13.69,18.3,18.49,22.68,26.88,30.64,27.17,24.38,26.1,26.68,23.04,20.07,17.84,31.84,32.129999999999995,37.06,,41.37,37.33,32.379999999999995,32.25,31.51,31.17,31.2,29.06,56.36,54.14,80.44,174.98,174.41,0.0,0.0,0.0,0.0,15.71,38.94,36.67,55.03,82.01,18.34,45.72,165.59,115.41,110.6,115.26,101.81,60.82,47.83,90.02,108.17,158.44,188.33,217.13,163.59,116.41,107.6,114.26,114.52,99.76,82.11,1526.62,177.75,23.35,138.26,50.19,146.87,,30.84,939.3,1179.7,127.89,30815.0,60.19,34.91,29.14,13883.0,27.22,17.83,14.78,8259.0,17.6,11.82,10.01,52954.0,57.55,48.92
1990,Chhattisgarh,Raigarh,0.0,,0,4.38,25.89,27.12,8.83,53.54,393.55,1425.87,784.16,311.96,122.11,8.98,1.95,17.4,20.52,22.16,27.6,29.2,26.38,24.67,25.69,25.19,,22.77,16.97,,32.7,33.370000000000005,36.63,39.52,37.19,31.87,31.09,30.32,,31.87,29.74,75.39,78.69,115.64,165.96,143.94,0.0,0.0,0.0,0.0,13.32,,,40.25,43.87,20.05,62.07,150.94,110.71,107.65,111.42,110.96,69.5,50.22,102.14,116.94,159.51,184.01,204.01,149.94,112.71,106.65,113.42,118.28,108.91,96.21,,123.67,120.27,75.75,19.18,101.12,33.129999999999995,36.72,546.8,584.0,,11178.0,72.32,22.48,22.17,3413.0,23.45,,6.85,1312.0,12.24,6.4,3.25,15898.0,32.120000000000005,29.26
1990,Chhattisgarh,Surguja,5.0,0.0,0,2.3,56.2,33.04,,29.39,398.56,724.17,476.05,237.38,52.93,2.58,2.61,12.43,17.53,20.42,26.06,24.65,25.71,22.78,23.84,,20.43,16.35,11.82,28.33,26.95,33.29,36.21,40.08,34.48,29.63,30.83,29.55,,30.35,28.31,,31.82,88.65,157.63,169.06,0.0,0.0,0.0,0.0,22.4,37.27,34.96,70.27,58.95,24.79,37.1,155.76,106.27,104.26,108.03,87.38,51.61,37.04,83.81,98.09,143.59,177.43,204.16,154.76,104.26,106.26,105.03,107.77,89.87,76.26,1807.37,681.65,47.47,114.57,0.0,206.47,43.12,53.81,595.9,683.2,115.53,3756.0,50.99,8.32,9.52,3447.0,49.9,7.8,6.06,312.0,6.12,2.52,2.45,7508.0,15.64,13.03
1990,Gujarat,Ahmedabad,1120.0,3295.0,2951,,5.92,0.0,,19.04,27.15,171.41,445.09,157.21,13.28,1.21,19.59,12.91,15.94,20.18,24.74,27.67,28.15,27.48,27.03,27.68,22.21,19.07,14.52,32.379999999999995,32.97,35.97,41.24,41.61,41.6,33.57,34.46,,38.76,35.89,30.79,95.98,115.28,173.1,215.35,228.37,175.67,5.84,0.0,6.23,52.36,61.01,14.23,13.52,8.83,7.66,22.07,27.32,148.08,129.12,135.58,86.72,52.32,44.07,108.21,123.79,176.93,219.0,246.44,197.99,151.92,,136.81,136.08,114.33,90.49,894.77,14.5,72.92,78.55,26.49,37.51,6.1,141.46,532.24,573.9,110.06,26663.0,69.56,54.38,50.62,9557.0,26.21,,18.71,3251.0,11.23,8.129999999999999,,39466.0,76.57,72.01
