Year,State,Planted (1000 Acres),Harvested (1000 Acres),Yield (Pounds/ Harvested Area),Average Temperature Value,Average Temperature Anomaly,Maximum Temperature Value,Maximum Temperature Anomaly,Minimum Temperature Value,Minimum Temperature Anomaly,Precipitation Value,Precipitation Anomaly,Cooling Degree Days Value,Cooling Degree Days Anomaly,Heating Degree Days Value,Heating Degree Days Anomaly,Palmer Drought Severity Index (PDSI) Value,Palmer Drought Severity Index (PDSI) Anomaly,Palmer Hydrological Drought Index (PHDI) Value,Palmer Hydrological Drought Index (PHDI) Anomaly,Palmer Modified Drought Index (PMDI) Value,Palmer Modified Drought Index (PMDI) Anomaly,Palmer Z-Index Value,Palmer Z-Index Anomaly
1975,MO,220,210,453,,3.716666667,69.50833333,,44.76666667,2.708333333,5.485833333,1.931666667,105.5833333,1.4166666669999999,430.5,4.916666666999999,3.8625,2.8575,3.090833333,3.058333333,4.47,1.569166667,2.283333333,1.98
1975,MS,"1,140","1,100",456,67.29166667,1.483333333,77.31666667,2.25,53.28333333,3.75,8.710833333,4.804166667,160.8333333,-18.41666667,203.5,-3.0833333329999997,4.3575,6.776666667000001,7.129166667,4.321666667000001,8.078333333,7.468333333,5.356666667,2.118333333
1975,NC,56,53,415,63.33333333,1.15,72.475,2.2,52.2,1.1,,1.6233333330000002,113.75,-2.8333333329999997,282.0833333,-3.25,3.423333333,6.533333333,4.423333333,4.473333332999999,5.2375,6.3175,4.903333333,3.9108333330000002
1975,NM,95,85,385,53.35,0.4249999999999998,69.74166667,-0.1833333330000002,36.975,-0.9500000000000002,2.078333333,1.901666667,54.0,-24.25,439.1666667,59.08333333,5.8208333329999995,3.079166667,3.4225,6.754166667,6.07,6.3225,1.463333333,1.596666667
1975,NV,1,1,725,51.25,-0.40833333299999985,63.33333333,-0.8333333330000001,38.15833333,2.016666667,3.885,4.020833333,154.5833333,-22.58333333,338.9166667,44.25,2.2883333329999997,3.0275,4.21,3.820833333,5.300833333,4.865,4.6775,3.8775
1975,OK,360,295,280,60.66666667,,74.6,0.5833333329999999,50.725,0.808333333,4.966666667,0.993333333,138.5,-20.5,319.5833333,,6.691666667,4.004166667,6.799166667,3.985833333,5.505833333,4.800833333,4.6975,2.455833333
1975,SC,107,103,457,64.14166667,2.125,77.41666667,2.983333333,55.89166667,4.308333333,7.8525,1.855,154.4166667,-3.1666666670000003,212.75,-6.83333333,4.608333333,4.904166667,6.608333333,3.784166667,4.52,5.721666667,2.139166667,2.1950000000000003
1975,TN,335,315,343,60.80833333,3.766666667,69.81666667,1.658333333,47.78333333,2.883333333,7.2,4.650833333,106.75,-8.0,319.4166667,-0.25,7.655833333,4.856666667,6.655833333,6.708333333000001,6.339166667000001,6.551666667,2.045,
1975,TX,"4,350","3,900",296,,0.4666666669999999,80.425,,53.14166667,-0.8416666669999999,5.2725,3.920833333,195.4166667,-30.0,166.1666667,5.916666667,4.6525,5.714166667000001,7.9925,,,6.619166667,4.848333333,2.798333333
1975,VA,1,1,345,57.425,3.841666667,67.24166667,1.675,47.54166667,1.95,8.338333333,3.5891666669999998,85.75,-5.5,366.0833333,3.25,3.410833333,3.185833333,5.410833332999999,,3.234166667,3.92,2.1725000000000003,5.040833333
1976,AL,440,420,400,64.675,,73.89166667,1.091666667,49.40833333,,7.665,2.9,120.6666667,-35.83333333,274.9166667,45.91666667,6.0875,4.766666667,4.0875,4.609999999999999,3.723333333,4.4125,1.408333333,1.269166667
1976,AR,"1,125",950,393,61.75,,74.63333333,2.033333333,49.875,0.15833333299999985,4.419166667,0.08916666699999998,111.0833333,-34.08333333,315.1666667,24.66666667,0.5133333330000001,0.17083333300000003,1.995,0.475,2.575,2.156666667,3.684166667,0.5291666669999999
1976,AZ,341,340,1180,59.96666667,1.341666667,77.475,2.7,47.475,0.0416666670000001,1.968333333,,214.1666667,-33.75,184.5,15.75,0.040000000000000036,0.859166667,2.118333333,0.909166667,3.385,1.049166667,1.693333333,1.938333333
1976,CA,"1,130","1,120",1066,61.475,2.825,,3.341666667,46.4,-0.733333333,4.979166667,1.1524999999999999,57.25,-16.08333333,254.0833333,13.91666667,-1.2141666670000002,-0.3849999999999998,-1.2141666670000002,1.496666667,-0.9608333330000001,-0.2650000000000001,0.47666666699999993,2.730833333
1976,FL,7,7,517,,-1.1,81.99166667,1.316666667,60.95833333,-1.508333333,6.3025,3.831666667,248.75,-42.08333333,75.75,19.166666669999998,2.976666667,1.586666667,,2.965,4.0575,4.680833333,2.2425,4.459166667
1976,GA,255,240,402,63.475,1.6,74.65,-0.7749999999999999,51.31666667,-1.983333333,8.634166666999999,2.460833333,105.9166667,-32.83333333,281.5,42.33333333,2.694166667,5.010833333,4.110833333,5.369166667,2.8258333330000003,4.1375,5.004166667,3.076666667
1976,IL,0,0,0,54.375,,63.775,0.38333333300000005,40.95,0.8416666670000001,4.3783333330000005,3.0425,62.58333333,-12.66666667,569.75,,3.060833333,1.169166667,1.383333333,0.3016666670000001,2.119166667,,2.165,1.84
1976,KS,0,0,0,55.2,0.433333333,70.94166667,1.641666667,44.45833333,2.2083333329999997,5.75,3.3991666670000003,110.4166667,-9.16666667,427.75,12.916666667,3.3,0.5175000000000001,0.30000000000000004,2.436666667,0.334166667,2.5149999999999997,3.3483333330000002,3.1125
1976,KY,2,1,261,55.325,0.4416666669999998,69.11666667,-0.7250000000000001,45.525,-2.416666667,5.540833333,1.383333333,69.41666667,-30.583333330000002,425.6666667,,4.533333333,3.6925,3.9275,2.921666667,4.29,3.453333333,2.123333333,1.7916666669999999
1976,LA,570,560,475,67.33333333,-1.375,76.75833333,0.5249999999999999,53.94166667,0.7250000000000001,5.125833333,2.146666667,177.3333333,-43.0,178.5833333,34.58333333,3.601666667,0.39333333299999995,3.67,1.246666667,3.6,0.328333333,1.7475,0.598333333
1976,MO,305,260,308,56.625,2.7,66.80833333,1.016666667,45.39166667,1.3333333330000001,5.38,0.8258333330000001,90.25,-12.916666670000001,451.4166667,26.83333333,2.533333333,-1.471666667,-0.4666666669999999,0.5008333330000001,1.6025,1.701666667,-0.007500000000000062,2.6891666670000003
1976,MS,"1,530","1,470",380,62.40833333,1.6,76.56666667,0.5,53.28333333,-2.25,5.183333333,3.2766666669999998,140.3333333,-33.91666667,242.5833333,39.0,0.49,-0.09083333299999996,3.8049999999999997,1.9975,4.68,3.07,0.85,
1976,,,71,491,59.3,2.116666667,70.28333333,2.008333333,48.31666667,-0.7833333329999999,4.829166667,3.6574999999999998,90.08333333,-25.5,320.25,31.91666667,3.226666667,4.336666667,0.7633333330000001,0.813333333,1.134166667,2.214166667,3.8725,2.88
1976,NM,68,64,524,54.875,-1.0499999999999998,69.275,-0.6499999999999999,39.425,1.5,2.948333333,0.771666667,58.75,-19.5,432.5833333,49.5,0.2183333329999999,2.476666667,1.379166667,,1.4,2.6525,2.234166667,1.3675000000000002
1976,NV,1,1,742,51.51666667,1.858333333,66.725,1.558333333,36.3,0.15833333300000008,2.825,2.960833333,146.1666667,-28.0,308.9166667,15.25,3.373333333,2.1125,1.206666667,,3.283333333,2.8475,2.585,1.785
1976,OK,350,335,252,60.625,-0.35833333300000003,75.85833333,1.841666667,47.40833333,0.49166666700000006,4.225833333000001,1.2525,130.5,-27.5,320.25,14.83333333,-0.3416666669999999,0.9708333329999999,-0.13250000000000006,-0.9458333329999999,,-0.5416666670000001,0.34583333299999997,1.1041666669999999
1976,SC,170,159,439,61.91666667,0.8999999999999999,75.96666667,0.5333333330000001,49.85,-0.733333333,8.300833333,2.303333333,,-35.41666667,250.5833333,30.0,3.2233333330000002,3.519166667,2.773333333,2.949166667,3.4299999999999997,3.631666667,4.775,3.830833333
1976,TN,420,370,297,,1.475,70.625,-0.5333333330000001,45.40833333,-1.491666667,7.958333333000001,2.409166667,,-32.75,367.5833333,44.91666667,2.275833333,2.476666667,2.621666667,3.674166667,3.743333333,1.955833333,2.043333333,3.748333333
1976,TX,"4,800","4,500",356,65.81666666999999,-1.491666667,78.36666667,-0.24166666700000006,52.225,0.24166666700000006,,3.2025,178.5833333,-48.83333333,189.6666667,30.41666667,4.331666667,1.393333333,1.080833333,0.83,4.016666667,0.871666667,3.234166667,1.184166667
1976,VA,1,1,481,55.825,0.24166666700000006,69.71666667,1.15,45.94166667,1.35,6.443333333,1.694166667,68.91666667,-21.33333333,396.1666667,32.33333333,0.46583333299999996,3.240833333,2.063333333,2.6825,0.903333333,2.5891666669999998,2.926666667,3.795
1977,AL,405,395,339,64.45833333,3.2,77.375,3.575,54.55,2.85,6.8225,2.0575,169.3333333,13.83333333,264.4166667,37.41666667,1.480833333,4.16,4.674166667,3.196666667,3.518333333,1.2075,4.0125,2.873333333
1977,AR,950,,538,61.76666667,1.116666667,73.14166667,1.5416666669999999,51.375,2.658333333,5.8675,0.5375,167.25,21.08333333,309.5,20.0,-0.3400000000000001,1.3175,0.6599999999999999,1.14,1.0333333329999999,,3.554166667,2.3991666670000003
1977,AZ,517,515,1001,62.20833333,2.583333333,77.5,0.725,48.91666667,3.483333333,1.8841666670000001,2.859166667,239.9166667,-5.0,171.1666667,3.416666667,-0.915,2.904166667,2.085,1.875833333,0.125,2.789166667,3.108333333,3.353333333
1977,,"1,400","1,390",966,61.975,1.325,72.56666667,2.4,47.38333333,1.25,2.460833333,3.634166667,64.5,-7.83333333,257.6666667,13.5,0.7525,1.581666667,-2.073333333,-0.3624999999999998,-1.8200000000000003,-3.124166667,0.5741666670000001,2.828333333
1977,FL,6,,427,73.43333333,-0.641666667,83.56666667,1.891666667,59.28333333,-1.1833333330000002,,3.529166667,263.8333333,-24.0,83.66666667,,0.785833333,0.395833333,-0.35666666700000005,1.320833333,1.720833333,2.344166667,0.331666667,1.548333333
1977,GA,230,170,236,63.85,2.975,78.90833333,2.483333333,52.79166667,1.491666667,7.015,2.841666667,,9.583333333,279.0,38.83333333,0.9275,1.244166667,1.138333333,3.396666667,2.000833333,2.3125,2.531666667,1.6041666669999999
1977,IL,0,0,0,54.50833333,0.25833333300000005,63.75,3.358333333,44.24166667,2.133333333,6.483333333,1.1475,78.08333333,5.833333333000001,548.6666667,31.83333333,1.2591666670000001,-0.6325000000000001,3.0375,-0.044166666999999826,0.27249999999999996,0.36833333300000004,2.3483333330000002,3.023333333
1977,KS,0,0,0,57.45,3.683333333,72.04166667,1.741666667,44.86666667,1.616666667,6.709166667,4.358333333,133.25,11.66666667,414.9166667,-1.9166666669999999,2.7675,,0.441666667,0.578333333,1.556666667,0.7375,4.066666667,3.830833333
1977,KY,1,1,421,56.79166667,-0.09166666699999992,68.9,,46.66666667,2.725,7.043333333,3.885833333,110.25,10.25,420.9166667,44.33333333,3.16,3.319166667,1.013333333,2.0075,2.9925,0.15583333300000002,4.345,1.013333333
1977,LA,545,540,584,70.05,1.3416666670000001,77.90833333,3.675,56.19166667,2.975,7.951666667,0.9725,223.3333333,3.0,174.4166667,29.41666667,3.358333333,3.15,2.2225,3.799166667,3.1975,1.925833333,3.025833333,2.876666667
1977,MO,270,258,440,55.85,2.925,68.61666667,0.825,45.08333333,3.025,5.6925,1.138333333,122.25,,445.6666667,21.08333333,3.424166667,-0.580833333,2.590833333,0.5583333330000002,1.965833333,-0.935,4.2225,1.919166667
1977,MS,"1,380","1,360",583,64.3,1.491666667,76.89166667,1.825,53.68333333,1.15,5.959166667,4.0525,190.6666667,14.41666667,236.1666667,30.58333333,3.853333333,2.2725,1.9825,0.17500000000000004,0.943333333,,3.991666667,0.753333333
1977,NC,87,83,309,60.31666667,1.133333333,72.7,2.425,48.94166667,2.841666667,8.067499999999999,0.895833333,126.6666667,9.083333332999999,323.75,37.41666667,0.673333333,3.783333333,3.4825,1.5325,2.643333333,0.723333333,0.756666667,3.764166667
1977,NM,131,128,606,57.7,0.775,70.84166667,3.916666667,40.55,1.625,5.101666667,1.925,79.41666667,2.166666667,398.25,16.166666669999998,-0.26666666699999997,-0.008333332999999943,-0.26666666699999997,3.065,1.044166667,1.296666667,1.561666667,1.695
1977,NV,1,1,600,52.30833333,2.65,68.16666667,1.0000000000000002,37.46666667,2.325,2.824166667,,168.4166667,-6.75,299.9166667,3.25,-1.7408333329999999,-0.001666666999999844,1.0216666669999999,-0.36750000000000016,1.2774999999999999,1.8416666670000001,1.886666667,2.0866666670000003
1977,OK,535,520,404,61.71666667,4.733333333,75.04166667,3.025,49.4,,3.659166667,0.6858333329999999,184.9166667,24.91666667,308.8333333,4.416666667,1.431666667,-0.255833333,-0.568333333,1.6183333329999998,2.6608333330000002,0.9558333330000002,1.395,3.153333333
1977,SC,170,153,346,65.2,2.183333333,77.00833333,3.575,53.375,0.7916666670000001,7.6825,1.685,167.5833333,10.0,256.0,34.41666667,,3.5125,2.8375,2.013333333,2.641666667,1.843333333,1.328333333,0.384166667
1977,TN,325,300,408,,0.23333333300000003,71.79166667,2.633333333,48.75,0.8500000000000001,7.6825,4.133333333,131.25,16.5,361.1666667,37.5,4.100833333,2.301666667,1.901666667,-0.04583333300000003,1.096666667,2.309166667,1.426666667,1.131666667
1977,TX,"6,650","6,450",410,66.28333333,3.975,80.875,1.266666667,54.63333333,0.65,3.886666667,3.535,237.0,10.583333332999999,179.1666667,16.916666669999998,3.955833333,1.0175,1.7375,1.486666667,3.45,1.305,3.599166667,2.549166667
1977,VA,1,1,197,56.75,2.166666667,66.95833333,3.391666667,45.5,1.908333333,5.3125,1.563333333,98.33333333,6.083333333,393.5833333,30.75,1.780833333,0.555833333,1.46,0.07916666699999997,2.643333333,,3.3375,2.205833333
1978,AL,325,315,444,65.86666667,1.608333333,75.93333333,1.133333333,53.79166667,2.091666667,8.125,3.36,165.25,7.75,278.4166667,50.41666667,0.509166667,3.188333333,0.885,0.4075,2.6725,0.36166666700000005,1.576666667,0.4375
1978,AR,810,760,419,62.9,-0.75,73.2,2.6,50.61666667,-1.1,8.105833333,3.775833333,153.1666667,9.0,351.75,62.25,0.15666666699999998,-0.18583333299999993,2.028333333,0.5083333329999999,3.4175,1.999166667,1.8625,2.7075
1978,AZ,540,538,957,61.8,3.175,77.275,1.5,47.30833333,1.875,3.6775,1.6524999999999999,239.6666667,-6.25,181.0833333,15.33333333,5.998333333,4.8175,3.831666667,4.6225000000000005,3.568333333,5.2325,2.996666667,5.2416666670000005
1978,CA,"1,480","1,455",643,,1.958333333,73.59166667,2.425,,3.5,3.405,4.578333333,63.33333333,-9.0,264.8333333,23.66666667,4.926666667,5.755833333,3.07,6.780833333,3.941666667,5.6375,1.775,2.029166667
1978,FL,4,4,508,70.73333333,0.6583333330000001,84.475,2.8,62.0,0.5333333330000001,5.444166667,0.973333333,273.6666667,-15.166666670000001,78.83333333,23.25,4.695833333,2.305833333,1.6949999999999998,5.3725000000000005,,5.251666667,3.963333333,1.18
1978,GA,120,115,464,66.58333333,2.7083333329999997,77.54166667,1.116666667,54.60833333,0.308333333,4.573333333,0.4,144.5833333,3.8333333329999997,281.75,41.58333333,0.10250000000000004,2.419166667,3.391666667,0.65,2.189166667,2.500833333,3.26,
1978,IL,0,0,0,51.56666667,-1.6833333330000002,63.725,0.3333333330000001,40.38333333,-0.7250000000000001,5.976666667,0.640833333,74.5,1.25,598.3333333,79.5,1.925833333,3.034166667,5.0175,0.935833333,3.4825,2.578333333,0.859166667,0.534166667
1978,KS,0,0,0,55.7,-1.0666666669999998,66.15833333,-0.14166666699999997,42.225,-1.025,3.9850000000000003,1.6341666670000001,134.9166667,15.33333333,489.4166667,,1.559166667,0.776666667,2.503333333,2.6399999999999997,0.5375,1.718333333,3.5975,2.361666667
1978,KY,,0,0,55.36666667,-0.516666667,67.225,-0.6166666670000001,,-0.4249999999999998,7.414166667,4.256666667,98.33333333,-1.6666666669999999,452.9166667,75.33333333,3.495833333,2.6550000000000002,,4.49,1.523333333,3.686666667,3.621666667,4.29
1978,,515,510,454,67.08333333,0.375,76.975,1.741666667,,-1.0333333329999999,5.230833333,3.251666667,,0.08333333300000012,191.4166667,49.41666667,1.705833333,3.4975,3.719166667,0.29583333300000003,1.648333333,1.3766666669999998,2.5775,2.428333333
1978,MO,210,182,499,,-0.3166666669999998,,1.741666667,44.68333333,-0.375,7.3625,0.808333333,110.8333333,6.666666666999999,499.4166667,78.83333333,4.998333333,2.993333333,4.115,4.0825,3.900833333,0.0,2.156666667,1.853333333
1978,MS,"1,200","1,180",564,63.20833333,2.4,77.975,-0.09166666699999992,51.44166667,1.9083333329999999,5.115833333,2.209166667,180.75,3.5,257.3333333,52.75,3.4725,1.891666667,1.855833333,2.048333333,0.6025,-0.007500000000000062,3.548333333,1.31
1978,NC,45,42,516,60.44166667,-0.7416666670000001,69.675,-0.6000000000000001,47.19166667,-0.9083333330000001,4.986666667,0.815,113.0833333,-2.5,,47.0,3.4375,1.5474999999999999,2.0225,5.0725,3.666666667,1.746666667,2.965,3.9725
1978,,137,109,445,54.225,3.3,71.55,0.625,39.9,3.975,5.373333333,3.196666667,74.91666667,-4.333333333,395.75,13.66666667,1.364166667,3.6225,2.540833333,2.8725,0.9299999999999999,4.1825,4.446666667,3.58
1978,NV,1,1,543,53.375,1.716666667,63.34166667,2.175,,3.258333333,,2.288333333,160.75,-14.416666670000001,314.1666667,18.5,3.8275,4.566666667,3.4225,4.033333333,5.5625,4.126666667,3.469166667,3.669166667
1978,OK,605,585,295,61.475,-0.5083333329999999,72.55833333,0.5416666670000001,48.39166667,1.475,3.360833333,2.3875,183.8333333,23.83333333,372.1666667,68.75,,,,0.9283333329999999,0.0024999999999999467,1.2974999999999999,3.186666667,2.9450000000000003
1978,SC,105,98,565,62.575,0.558333333,75.23333333,0.8,53.91666667,-0.6666666670000001,6.425,0.4275,156.4166667,-2.1666666670000003,263.5,40.91666667,2.084166667,0.38,2.191666667,,3.141666667,0.343333333,1.400833333,0.456666667
1978,TN,250,230,492,,0.10833333300000003,70.66666667,-0.49166666700000006,46.65,-0.25,5.1575,2.608333333,118.4166667,2.6666666670000003,382.5,60.83333333,2.7175000000000002,1.918333333,1.9425,2.995,,0.13166666699999996,1.761666667,0.46666666700000003
1978,TX,"6,950","6,200",297,67.76666667,,79.725,-0.8833333329999999,55.80833333,1.825,5.140833333,2.789166667,229.8333333,3.4166666670000003,214.3333333,53.08333333,,1.666666667,,0.2541666669999998,,-0.31499999999999995,2.426666667,3.376666667
1978,VA,0,0,483,54.59166667,2.008333333,68.61666667,0.050000000000000044,45.55,-0.04166666699999988,4.765000000000001,3.015833333,86.41666667,-3.8333333329999997,420.9166667,59.08333333,5.483333333,4.2583333329999995,4.550833333,3.17,4.3375,,2.294166667,2.1625
1979,AL,310,305,512,63.35833333,2.1,76.725,-0.07500000000000018,51.99166667,0.2916666670000001,7.66,3.895,137.5,-19.0,267.3333333,39.33333333,4.295,5.974166667,6.154999999999999,2.6775,6.143333333,2.8325,2.2516666670000003,4.1125
1979,AR,610,530,552,58.99166667,0.34166666700000015,69.84166667,-1.758333333,51.16666667,-0.5499999999999998,8.021666667,1.691666667,119.6666667,-21.5,348.25,55.75,4.960833333,4.618333333,4.686666667,4.166666666999999,3.655833333,,4.1475,2.9925
1979,AZ,580,575,1072,61.81666667,1.191666667,77.18333333,1.408333333,47.44166667,,5.0175,3.9925,230.75,-16.16666667,198.6666667,32.91666667,7.378333333,9.1975,6.378333333,8.169166666999999,5.71,6.374166667,3.125,3.37
1979,CA,"1,650","1,635",1002,59.66666667,1.016666667,73.075,0.9083333330000001,49.25833333,1.125,5.0525,2.225833333,67.08333333,-7.25,270.0,27.83333333,4.453333333,5.2825,,5.0425,4.1825,3.878333333,2.209166667,3.463333333
1979,FL,3,3,566,71.85,2.775,83.51666667,0.8416666669999999,61.18333333,0.7166666669999999,5.988333333,4.5175,273.5,-18.33333333,73.33333333,16.75,3.3049999999999997,3.915,3.3049999999999997,3.9825,4.6075,2.230833333,3.6375,3.854166667
1979,GA,155,150,489,64.26666667,-0.608333333,77.71666667,1.291666667,54.84166667,-0.4583333329999999,6.64,3.466666667,121.25,-18.5,268.6666667,,2.5641666670000003,5.880833333,3.04,5.298333333,3.2325,2.544166667,4.864166667,3.936666667
1979,IL,0,0,0,53.375,-0.875,60.68333333,0.2916666669999999,40.10833333,1.0,7.219166667,2.883333333,64.58333333,-7.66666667,592.0833333,76.25,2.486666667,2.5949999999999998,3.635,3.553333333,3.265833333,1.3616666670000002,3.233333333,2.908333333
1979,KS,0,0,0,55.29166667,0.5249999999999999,68.90833333,-1.391666667,42.66666667,-0.5833333330000001,5.465,3.114166667,110.0,-11.58333333,489.5,73.66666667,,1.5333333329999999,4.3158333330000005,4.4525,4.15,4.330833333,2.7675,3.531666667
1979,KY,0,0,0,54.425,-0.4583333330000001,66.95833333,0.11666666700000006,46.9,1.9583333330000001,7.215,3.0575,78.0,-21.0,432.5,54.91666667,6.495,7.654166667,5.495,7.489166667,5.431666667,5.595000000000001,2.9791666670000003,5.6475
1979,LA,470,465,714,67.54166667,0.8333333330000001,79.05833333,1.8250000000000002,56.00833333,-0.20833333300000012,8.945833333,4.966666667,195.6666667,-22.66666667,185.6666667,44.66666667,3.465833333,5.2575,4.465833333,3.0425,3.323333333,6.051666667,2.261666667,4.1125
1979,MO,157,137,554,53.05,1.125,,0.38333333299999994,43.9,-1.1583333329999999,6.360833333,2.806666667,,-11.16666667,499.0833333,73.5,,1.769166667,5.255,4.2225,4.8825,3.981666667,4.365833333,2.0625
1979,MS,"1,090","1,050",660,64.625,,73.59166667,1.525,53.625,1.091666667,9.298333333,4.391666667,158.9166667,-18.33333333,251.9166667,46.33333333,6.094166667,3.513333333,4.094166667,6.286666667,5.005833333,3.395833333,2.7291666670000003,3.4908333330000003
1979,NC,46,45,459,60.61666667,1.433333333,69.74166667,1.466666667,47.525,2.425,5.894166667,1.7225000000000001,97.5,-22.08333333,315.4166667,27.08333333,5.004166667,3.114166667,4.265833333,3.315833333,6.094166667,6.174166667,2.239166667,
1979,NM,154,126,398,52.8,0.875,69.78333333,-1.141666667,38.81666667,1.891666667,2.204166667,2.0275,61.91666667,-19.33333333,429.25,47.16666667,7.369166667,4.6274999999999995,7.369166667,5.700833333,6.993333333,7.245833333,4.055,3.188333333
1979,NV,1,1,659,53.63333333,0.9750000000000001,66.15,,38.125,-0.01666666699999997,3.818333333,3.954166667,166.0,-8.16666667,323.5,28.83333333,6.3375,5.076666667,5.3375,5.948333333,,5.4175,1.209166667,
1979,OK,600,580,434,58.38333333,1.4,72.34166667,-0.6749999999999998,46.39166667,1.475,5.8925,2.919166667,145.75,-13.25,368.3333333,65.91666667,3.420833333,3.733333333,3.174166667,1.360833333,4.170833333,1.465833333,,1.2325
1979,SC,110,109,512,65.45833333,2.441666667,74.89166667,,54.0,1.416666667,,1.673333333,134.75,-22.83333333,246.0833333,26.5,2.915833333,3.211666667,3.4175,4.593333333,5.623333333,4.825,5.0975,2.153333333
1979,TN,250,230,360,59.84166667,-1.2000000000000002,69.55,0.39166666699999997,48.125,2.225,9.506666667000001,2.9575,,-18.75,369.5,44.83333333,5.1825,4.3833333329999995,4.1825,5.234999999999999,5.1216666669999995,6.334166667,4.6925,3.3975
1979,,"7,700","6,800",390,64.875,0.5666666669999998,78.08333333,1.475,53.65833333,-0.3250000000000002,4.5825,4.230833333,,-30.916666669999998,204.75,,4.549166667,3.610833333,3.624166667,5.373333333,6.4966666669999995,6.351666667,5.301666667,2.2516666670000003
1979,VA,0,0,322,56.825,2.241666667,65.48333333,-0.08333333300000012,46.15,-0.441666667,7.638333333,1.889166667,69.58333333,-18.66666667,398.5833333,33.75,6.521666667,3.296666667,5.873333333,3.4925,4.779166667,5.465,5.6175,3.485833333
1980,AL,325,321,415,63.46666667,3.208333333,76.46666667,3.666666667,,2.7916666670000003,7.873333333,4.108333333,170.0833333,12.58333333,265.5,39.5,3.371666667,2.050833333,4.8833333329999995,4.405833333,2.789166667,1.4783333330000001,3.019166667,0.88
1980,AR,700,645,332,63.49166667,2.841666667,73.28333333,2.683333333,50.65833333,2.941666667,7.341666667,3.011666667,178.4166667,34.25,,31.75,1.619166667,2.2766666669999998,1.53,3.01,3.210833333,2.7925,2.0425,
1980,AZ,550,549,1185,64.23333333,2.608333333,77.49166667,0.7166666669999999,47.96666667,2.533333333,3.131666667,2.106666667,232.3333333,-17.58333333,161.6666667,-7.083333333000001,3.709166667,4.528333333,7.659166667,8.45,3.851666667,7.515833333,2.763333333,5.0083333329999995
